34804,85,633,272,764
5704,-9,618,706,1203
32082,40,422,261,578
25757,287,297,992,791
18505,33,585,93,633
7318,75,685,365,946
4673,29,242,689,705
21769,185,514,655,1117
9489,28,677,451,1220
24538,54,1517,112,1569
7384,82,928,388,1142
24633,151,935,891,1454
25034,299,559,792,1004
17723,18,501,39,519
13593,162,331,623,701
1565,61,716,227,833
20434,50,915,237,1065
16335,56,96,886,678
15874,93,558,323,853
723,76,169,910,754
32102,155,689,436,915
20248,50,622,172,733
30546,47,1130,381,1364
22107,39,539,270,678
3449,41,764,603,1158
227,216,837,863,1355
5142,165,619,578,992
7989,34,579,692,1018
18682,49,1058,219,1277
17528,28,565,428,845
29504,80,836,528,1239
31194,75,595,643,1106
1476,164,493,514,808
19910,149,952,440,1157
2949,84,982,318,1146
29298,41,407,217,607
35973,86,914,131,971
33435,17,149,928,879
35978,51,606,534,944
27402,124,701,662,1078
2528,89,403,403,655
27608,55,868,151,945
8948,38,370,938,1001
26008,42,551,356,771
19197,37,475,344,869
19985,36,725,126,788
34340,46,674,458,1004
32736,19,368,424,652
10820,31,658,35,661
19253,73,1238,330,1444
21593,65,836,352,1038
8065,44,1096,683,1593
19632,49,682,1039,1474
1136,240,764,805,1216
9762,70,1116,172,1190
26645,56,476,831,1019
28770,70,879,732,1475
24880,39,770,366,967
20615,84,605,550,1071
19707,21,572,228,717
17436,59,1075,282,1232
20624,208,200,669,615
18847,11,213,690,645
23811,160,561,856,1048
5692,32,553,195,700
8126,123,288,913,920
31313,35,426,395,715
5066,25,701,26,701
27957,151,695,517,915
12283,95,377,728,820
507,152,257,982,839
28171,23,450,379,736
28239,164,879,577,1252
23018,43,1107,255,1256
4192,28,744,742,1173
7884,140,734,684,1061
27742,9,235,585,697
2869,28,505,52,524
10913,31,572,134,634
13610,39,1028,996,1698
6244,147,884,452,1159
17671,66,964,487,1260
32958,40,728,353,947
1425,61,809,162,880
14459,53,412,664,840
8955,44,686,154,764
492,90,1083,254,1214
6821,67,1014,430,1341
10532,105,585,885,1209
18454,51,990,232,1170
22206,111,771,669,1218
15382,31,256,659,696
2081,50,236,401,483
4033,30,592,353,819
11735,42,750,72,775
30098,60,884,344,1111
29675,34,538,352,825
9893,32,530,47,541
17171,23,414,1017,1110
19,28,559,130,712
7581,18,482,115,541
5361,10,245,547,675
16288,252,372,849,790
12545,51,645,173,740
11612,48,1017,602,1387
4593,126,391,621,787
34796,42,431,242,552
17130,36,734,147,813
22771,47,271,817,811
4682,35,794,66,820
8647,109,718,670,1111
15732,36,637,577,1017
1542,151,788,487,1123
5236,35,640,342,855
18175,68,952,190,1038
6109,59,1088,466,1545
6853,229,365,655,790
15290,53,873,86,900
20312,22,425,557,854
24081,46,927,267,1125
31435,66,1062,272,1248
30913,36,692,287,897
1306,19,422,277,603
8562,52,407,676,844
26923,80,757,800,1333
28416,31,528,751,1032
707,44,813,74,837
25083,64,473,599,848
28809,68,809,660,1284
19808,31,611,905,1397
32812,54,1386,124,1435
5489,20,224,707,705
33873,109,823,791,1369
3419,96,815,753,1275
17578,41,700,211,802
19548,35,783,567,1156
28275,34,477,869,1062
22865,-82,68,893,778
27029,104,558,716,1035
15596,104,908,501,1187
5380,21,594,29,599
13515,40,305,890,985
5970,22,364,282,547
29169,31,758,607,1162
21540,148,771,824,1380
15418,40,671,691,1062
3864,94,310,690,727
5225,20,523,691,926
10339,122,159,619,607
399,78,746,404,1113
17861,281,538,864,1063
34085,291,632,554,970
11147,177,460,973,1017
35682,54,1477,74,1490
17239,28,617,430,979
11275,30,324,401,622
15455,174,725,1024,1321
8182,129,692,572,1092
18410,27,683,238,832
4294,75,462,992,1196
12559,43,680,129,790
24505,65,729,758,1284
31294,64,892,264,1072
22378,85,650,903,1223
2288,33,503,124,577
30745,23,466,328,680
18662,26,499,316,673
27602,31,398,508,732
17640,122,732,338,1009
29774,27,481,117,553
27347,43,658,77,682
28128,58,955,763,1519
8578,53,917,125,975
1323,62,320,693,825
7693,92,554,886,1189
18593,40,637,258,790
13457,54,962,417,1289
24672,31,609,672,1122
16449,43,767,405,985
4462,84,1092,366,1346
12249,81,625,796,1197
5856,270,336,837,790
14310,45,946,442,1224
33605,292,538,690,897
1508,83,822,421,1093
1582,24,411,244,566
156,74,803,159,880
8199,73,386,299,567
2440,152,555,583,858
22572,50,999,194,1143
16038,94,514,424,778
2075,7,164,882,777
14564,29,627,269,795
18101,104,736,694,1267
10712,18,396,745,1051
2226,48,953,391,1228
247,46,620,180,741
21454,167,315,988,973
15569,37,1025,49,1034
34000,76,893,113,934
19192,95,313,446,560
31420,26,704,513,1045
22103,42,1152,448,1477
6516,36,758,210,880
34655,52,1308,282,1470
35695,63,444,495,833
17858,93,577,738,1093
4034,88,475,255,642
34465,42,321,699,781
26948,136,450,462,711
30482,64,798,719,1257
12662,46,598,376,863
33980,49,717,183,811
27986,48,620,234,770
20021,84,605,498,928
29822,21,294,587,930
25997,29,524,237,691
22886,49,1303,404,1552
32525,60,906,494,1167
6163,30,410,804,952
22679,21,383,791,923
33016,32,558,450,934
24247,129,488,870,933
13751,10,221,526,582
2766,35,562,450,853
24143,34,707,589,1096
2724,29,514,325,692
18,126,660,763,1107
32636,54,707,260,892
13115,97,511,1011,1243
28619,42,780,606,1175
13720,79,743,576,1301
3770,38,635,300,819
8204,19,335,155,431
13162,192,800,782,1331
19413,33,407,178,509
15677,101,780,271,933
1650,35,595,226,729
311,113,593,575,1121
33868,144,264,494,544
35544,26,570,406,836
35512,26,938,212,1105
23528,40,886,531,1181
31794,40,540,958,1091
18191,51,1369,86,1398
23477,63,989,213,1095
19469,34,720,409,1020
14077,31,168,844,819
16465,21,219,727,855
7133,63,142,576,605
23003,22,430,122,500
24639,39,619,384,861
23404,27,284,902,897
31746,43,805,861,1378
1620,108,314,949,903
29674,27,666,213,853
14376,55,784,178,883
4693,48,638,584,1014
24267,28,614,108,671
11410,70,619,738,1154
28493,79,431,507,774
3079,16,351,96,423
8108,17,322,860,913
21099,98,1165,322,1367
19999,283,639,541,928
8610,41,465,305,702
22053,55,190,770,762
5588,21,777,653,1488
16477,19,394,310,598
18723,49,898,139,979
8761,50,901,71,924
2740,-36,217,767,802
10195,25,495,111,564
21011,17,429,354,665
7279,6,399,348,838
32588,85,478,708,977
20310,40,799,245,964
23358,34,734,477,1176
24552,47,363,505,638
12275,18,315,115,383
5332,23,660,888,1266
23444,66,412,424,663
25351,44,1166,386,1372
29828,78,1125,157,1204
2276,34,784,123,898
12851,61,784,291,945
17202,68,687,226,798
17735,81,848,284,1011
421,50,924,246,1062
21818,44,876,210,987
28007,36,557,316,782
31791,248,696,632,1080
11380,76,780,408,1153
24587,53,677,232,789
21720,33,567,119,645
23078,101,424,381,648
